ReqID,Type,Description,Module,TestFile,Status,tipo_acceso,sql_file
RF-01,FUNC,Autenticación stateless con JWT,Backend,AuthServiceTest.java,VERIFIED,CRUD-ORM,
RF-02,FUNC,Gestión de Escenarios viales (CRUD),Backend,ScenarioServiceTest.java,VERIFIED,CRUD-ORM,
RF-03,FUNC,Consulta multi-tabla de resultados de simulación,Backend,SimulationServiceTest.java,IMPLEMENTED,SP,db/procs/sp_reporte_simulacion.sql
RF-04,FUNC,Cálculo agregado de promedio de desempeño de conductor,Backend,SimulationServiceTest.java,IMPLEMENTED,SP,db/procs/sp_calcular_promedio_usuario.sql
RF-05,FUNC,Generación de reporte consolidado diario de actividad,Backend,SimulationServiceTest.java,IMPLEMENTED,SP,db/procs/sp_reporte_actividad_diaria.sql
RF-06,FUNC,Actualización masiva de conductores inactivos,Backend,AuthControllerTest.java,IMPLEMENTED,SP,db/procs/sp_actualizar_usuarios_inactivos.sql
RF-07,FUNC,Validación cruzada de consistencia de reglas de escenario,Backend,ScenarioServiceTest.java,IMPLEMENTED,SP,db/procs/sp_validar_escenario.sql
RF-08,FUNC,Generación de código secuencial único para certificado,Backend,SimulationServiceTest.java,IMPLEMENTED,SP,db/procs/sp_generar_codigo_certificado.sql
RF-09,FUNC,Evaluación Automática de Comportamiento Vial (IA),Motor IA,FeedbackServiceTest.java,TESTED,CRUD-ORM,
RF-10,FUNC,Generación de Retroalimentación Textual (IA),Motor IA,FeedbackServiceTest.java,TESTED,CRUD-ORM,
RF-11,FUNC,Reglas de Negocio: Certificación y Puntaje (umbral >=70),Backend,SimulationServiceTest.java,VERIFIED,SP+ORM,db/procs/sp_calcular_puntaje_simulacion.sql
RF-12,FUNC,Persistencia de Entidades Secundarias,Database,DrivingSimulationIntegrationTest.java,VERIFIED,CRUD-ORM,
RF-13,FUNC,Protección de Datos Personales,Backend,service/feedback/ExternalAiFeedbackServiceTest.java,IMPLEMENTED,CRUD-ORM,
RF-14,FUNC,Respaldo y Disponibilidad con RTO/RPO,Backend,BackupServiceTest.java,IMPLEMENTED,CRUD-ORM,
RF-15,FUNC,Trazabilidad de Eventos (AuditLog),Backend,AuditServiceTest.java,IMPLEMENTED,CRUD-ORM,
RNF-01,PERF,Latencia de lectura en caché caliente p95 <= 200ms,API,scripts/k6/load-test.js,VERIFIED,,
RNF-02,PERF,Latencia de lectura en frío p95 <= 500ms,API,scripts/k6/load-test.js,VERIFIED,,
RNF-03,SEC,Contraseñas hasheadas con BCrypt y factor de costo >= 10,Backend,AuthServiceTest.java,VERIFIED,,
RNF-04,SEC,Cookie de token con HttpOnly y SameSite=Strict,Backend,AuthControllerTest.java,VERIFIED,,
RNF-05,SEC,Ausencia total de SQL dinámico en procedimientos,Database,scripts/audit-sql-dynamic.sh,VERIFIED,,
RNF-06,USAB,Escala de Usabilidad del Sistema SUS >= 68 puntos,Frontend,docs/mediciones/sus/sus-analysis.md,VERIFIED,,
RNF-07,SEC,Degradación controlada (Fallback) del proveedor de IA,Backend,FeedbackServiceTest.java,VERIFIED,,
RNF-08,SEC,Privacidad de Datos y Minimización,Backend,service/feedback/ExternalAiFeedbackServiceTest.java,TESTED,,
RNF-09,USAB,Accesibilidad y Compatibilidad (WCAG 2.2),Frontend,Lighthouse prod,VERIFIED,,
RNF-10,PERF,Capacidad y Volumetría,Arquitectura,scripts/k6/load-test.js,TESTED,,
US-01,USER,Registro autónomo de conductor,Frontend,app.component.spec.ts,TESTED,CRUD-ORM,
US-02,USER,Inicio de sesión seguro y obtención de cookie,Frontend,app.component.spec.ts,TESTED,CRUD-ORM,
US-03,USER,Exploración interactiva de escenarios viales,Frontend,app.component.spec.ts,TESTED,CRUD-ORM,
US-04,USER,Ejecución de simulación y captura de decisiones,Frontend,app.component.spec.ts,TESTED,SP,db/procs/sp_reporte_simulacion.sql
US-05,USER,Visualización de métricas y feedback en dashboard,Frontend,app.component.spec.ts,TESTED,SP,db/procs/sp_calcular_promedio_usuario.sql
US-06,USER,Descarga de certificado con código secuencial,Frontend,app.component.spec.ts,TESTED,SP,db/procs/sp_generar_codigo_certificado.sql
RF-16,FUNC,Cierre de simulaciones vencidas (SP),Database,SimulationRepositoryTest.java,IMPLEMENTED,SP,db/procs/sp_cerrar_simulaciones_vencidas.sql
RF-17,FUNC,Generacion de codigo de reporte (SP),Database,SimulationRepositoryTest.java,IMPLEMENTED,SP,db/procs/sp_generar_codigo_reporte.sql
RF-18,FUNC,Generacion de reporte de simulacion (SP),Database,SimulationRepositoryTest.java,IMPLEMENTED,SP,db/procs/sp_generar_reporte_simulacion.sql
RF-19,FUNC,Resumen de usuario (SP),Database,SimulationRepositoryTest.java,IMPLEMENTED,SP,db/procs/sp_resumen_usuario.sql
RF-20,FUNC,Validacion general de simulacion (SP),Database,SimulationRepositoryTest.java,IMPLEMENTED,SP,db/procs/sp_validar_simulacion.sql
